# Data from Open Admin Data (https://openadmindata.org/jo/) — CC-BY-4.0. Please cite: https://github.com/open-admin-data/jordan-administrative-divisions
id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.governorate,children_count.municipality,children_count.locality,zip_codes,geo.lat,geo.lon,source_url
JOKAR_aghwar-janoobiyah,2,بلدية,Municipality,الاغوار الجنوبية,Aghwar Janoobiyah,aghwar-janoobiyah,JOKAR_aghwar-janoobiyah,,JOKAR,الكرك,Karak,,,11,,31.119,35.795,
JOKAR_ayy,2,بلدية,Municipality,عي,Ayy,ayy,JOKAR_ayy,,JOKAR,الكرك,Karak,,,3,,31.119,35.795,
JOKAR_karak-alkubrah,2,بلدية,Municipality,الكرك الكبرى,Karak Alkubrah,karak-alkubrah,JOKAR_karak-alkubrah,,JOKAR,الكرك,Karak,,,36,,31.119,35.795,
JOKAR_muab-aljadedah,2,بلدية,Municipality,مؤاب الجديدة,Mu'ab Aljadedah,muab-aljadedah,JOKAR_muab-aljadedah,,JOKAR,الكرك,Karak,,,12,,31.119,35.795,
JOKAR_muata-almazar,2,بلدية,Municipality,مؤتة  والمزار,Mu'ata & Almazar,muata-almazar,JOKAR_muata-almazar,,JOKAR,الكرك,Karak,,,0,,31.119,35.795,
JOKAR_qatraneh,2,بلدية,Municipality,القطرانة,Qatraneh,qatraneh,JOKAR_qatraneh,,JOKAR,الكرك,Karak,,,1,,31.119,35.795,
JOKAR_shehan,2,بلدية,Municipality,شيحان,Shehan,shehan,JOKAR_shehan,,JOKAR,الكرك,Karak,,,9,,31.119,35.795,
JOKAR_sultani,2,بلدية,Municipality,السلطاني,Sultani,sultani,JOKAR_sultani,,JOKAR,الكرك,Karak,,,2,,31.119,35.795,
JOKAR_talal-aljadedah,2,بلدية,Municipality,طلال الجديدة,Talal Aljadedah,talal-aljadedah,JOKAR_talal-aljadedah,,JOKAR,الكرك,Karak,,,7,,31.119,35.795,
JOMAA,1,محافظة,Governorate,معان,"Ma""an",maan,JOMAA,,,,,,8,0,,30.229,36.653,https://openadmindata.org/jo/governorates/maan/
JOMAA_alashari,2,بلدية,Municipality,الأشعري,Alashari,alashari,JOMAA_alashari,,JOMAA,معان,"Ma""an",,,0,,30.229,36.653,
JOMAA_alsharah,2,بلدية,Municipality,الشراه,Alsharah,alsharah,JOMAA_alsharah,,JOMAA,معان,"Ma""an",,,0,,30.229,36.653,
JOMAA_husanieh-aljadedah,2,بلدية,Municipality,الحسينيه الجديدة,Husanieh Aljadedah,husanieh-aljadedah,JOMAA_husanieh-aljadedah,,JOMAA,معان,"Ma""an",,,0,,30.229,36.653,
JOMAA_iel-jadeda,2,بلدية,Municipality,إيل الجديدة,Iel Jadeda,iel-jadeda,JOMAA_iel-jadeda,,JOMAA,معان,"Ma""an",,,0,,30.229,36.653,
JOMAA_iqlem-albatra,2,بلدية,Municipality,إقليم البتراء,Iqlem Albatra,iqlem-albatra,JOMAA_iqlem-albatra,,JOMAA,معان,"Ma""an",,,0,,30.229,36.653,
JOMAA_jafr,2,بلدية,Municipality,الجفر,Jafr,jafr,JOMAA_jafr,,JOMAA,معان,"Ma""an",,,0,,30.229,36.653,
JOMAA_maan,2,بلدية,Municipality,معان,Ma'an,maan,JOMAA_maan,,JOMAA,معان,"Ma""an",,,0,,30.229,36.653,
JOMAA_shobak-aljadedah,2,بلدية,Municipality,الشوبك الجديدة,Shobak Aljadedah,shobak-aljadedah,JOMAA_shobak-aljadedah,,JOMAA,معان,"Ma""an",,,0,,30.229,36.653,
JOMAD,1,محافظة,Governorate,مادبا,Madaba,madaba,JOMAD,,,,,,4,73,,31.624,35.671,https://openadmindata.org/jo/governorates/madaba/
JOMAD_dieban-jadeda,2,بلدية,Municipality,ذيبان الجديدة,Dieban Jadeda,dieban-jadeda,JOMAD_dieban-jadeda,,JOMAD,مادبا,Madaba,,,20,,31.624,35.671,
JOMAD_jabal-bne-hamedah,2,بلدية,Municipality,جبل بني حميدة,Jabal bne Hamedah,jabal-bne-hamedah,JOMAD_jabal-bne-hamedah,,JOMAD,مادبا,Madaba,,,15,,31.624,35.671,
JOMAD_leb-mlaih,2,بلدية,Municipality,لب ومليح,Leb & Mlaih,leb-mlaih,JOMAD_leb-mlaih,,JOMAD,مادبا,Madaba,,,15,,31.624,35.671,
JOMAD_madaba-alkubrah,2,بلدية,Municipality,مادبا الكبرى,Madaba Alkubrah,madaba-alkubrah,JOMAD_madaba-alkubrah,,JOMAD,مادبا,Madaba,,,23,,31.624,35.671,
JOMAF,1,محافظة,Governorate,المفرق,Mafraq,mafraq,JOMAF,,,,,,19,145,,32.54,37.616,https://openadmindata.org/jo/governorates/mafraq/
JOMAF_al-zatary-camp,2,بلدية,Municipality,مخيم الزعتري*,Al-Za'tary Camp*,al-zatary-camp,JOMAF_al-zatary-camp,,JOMAF,المفرق,Mafraq,,,1,,32.54,37.616,
JOMAF_alamer-alhusain-ben-abdollah,2,بلدية,Municipality,الامير الحسين بن عبدالله,Alamer Alhusain Ben Abdollah,alamer-alhusain-ben-abdollah,JOMAF_alamer-alhusain-ben-abdollah,,JOMAF,المفرق,Mafraq,,,8,,32.54,37.616,
JOMAF_alrwashed-aljadedah,2,بلدية,Municipality,الرويشد الجديدة,Alrwashed Aljadedah,alrwashed-aljadedah,JOMAF_alrwashed-aljadedah,,JOMAF,المفرق,Mafraq,,,5,,32.54,37.616,
JOMAF_alzatary-almansheah,2,بلدية,Municipality,الزعتري والمنشية,Alza'tary & Almansheah,alzatary-almansheah,JOMAF_alzatary-almansheah,,JOMAF,المفرق,Mafraq,,,3,,32.54,37.616,
JOMAF_asfawi,2,بلدية,Municipality,الصفاوي,Asfawi,asfawi,JOMAF_asfawi,,JOMAF,المفرق,Mafraq,,,2,,32.54,37.616,
JOMAF_aum-qutain-makfieah,2,بلدية,Municipality,ام القطين والمكيفته,Aum Qutain & Makfieah,aum-qutain-makfieah,JOMAF_aum-qutain-makfieah,,JOMAF,المفرق,Mafraq,,,0,,32.54,37.616,
JOMAF_balama-aljadedah,2,بلدية,Municipality,بلعما الجديدة,Bal'ama Aljadedah,balama-aljadedah,JOMAF_balama-aljadedah,,JOMAF,المفرق,Mafraq,,,17,,32.54,37.616,
JOMAF_bani-hashem,2,بلدية,Municipality,بني هاشم,Bani Hashem,bani-hashem,JOMAF_bani-hashem,,JOMAF,المفرق,Mafraq,,,5,,32.54,37.616,
JOMAF_basleah,2,بلدية,Municipality,الباسلية,Basleah,basleah,JOMAF_basleah,,JOMAF,المفرق,Mafraq,,,4,,32.54,37.616,
JOMAF_dair-alkahf-aljadedah,2,بلدية,Municipality,دير الكهف الجديدة,Dair Alkahf Aljadedah,dair-alkahf-aljadedah,JOMAF_dair-alkahf-aljadedah,,JOMAF,المفرق,Mafraq,,,17,,32.54,37.616,
JOMAF_husha-aljadedah,2,بلدية,Municipality,حوشا الجديدة,Husha Aljadedah,husha-aljadedah,JOMAF_husha-aljadedah,,JOMAF,المفرق,Mafraq,,,9,,32.54,37.616,
JOMAF_khaldiyah,2,بلدية,Municipality,الخالدية,Khaldiyah,khaldiyah,JOMAF_khaldiyah,,JOMAF,المفرق,Mafraq,,,4,,32.54,37.616,
JOMAF_mafraq-alkubrah,2,بلدية,Municipality,المفرق الكبرى,Mafraq Alkubrah,mafraq-alkubrah,JOMAF_mafraq-alkubrah,,JOMAF,المفرق,Mafraq,,,13,,32.54,37.616,
JOMAF_manshiat-bane-hasan,2,بلدية,Municipality,منشية بني حسن,Manshiat Bane Hasan,manshiat-bane-hasan,JOMAF_manshiat-bane-hasan,,JOMAF,المفرق,Mafraq,,,3,,32.54,37.616,
JOMAF_rhab-aljadedah,2,بلدية,Municipality,رحاب الجديدة,Rhab Aljadedah,rhab-aljadedah,JOMAF_rhab-aljadedah,,JOMAF,المفرق,Mafraq,,,26,,32.54,37.616,
JOMAF_sabha-defianeh,2,بلدية,Municipality,صبحا والدفيانه,Sabha & Defianeh,sabha-defianeh,JOMAF_sabha-defianeh,,JOMAF,المفرق,Mafraq,,,0,,32.54,37.616,
JOMAF_salhiah-naifeh,2,بلدية,Municipality,الصالحية ونايفة,Salhiah & Naifeh,salhiah-naifeh,JOMAF_salhiah-naifeh,,JOMAF,المفرق,Mafraq,,,10,,32.54,37.616,
JOMAF_sama-serhan,2,بلدية,Municipality,سما السرحان,Sama Serhan,sama-serhan,JOMAF_sama-serhan,,JOMAF,المفرق,Mafraq,,,9,,32.54,37.616,
JOMAF_um-aljmal-aljadedah,2,بلدية,Municipality,أم الجمال الجديدة,Um aljmal Aljadedah,um-aljmal-aljadedah,JOMAF_um-aljmal-aljadedah,,JOMAF,المفرق,Mafraq,,,9,,32.54,37.616,
JOTAF,1,محافظة,Governorate,الطفيلة,Tafela,tafela,JOTAF,,,,,,4,0,,30.803,35.656,https://openadmindata.org/jo/governorates/tafela/
JOTAF_bsaira,2,بلدية,Municipality,بصيرا,Bsaira,bsaira,JOTAF_bsaira,,JOTAF,الطفيلة,Tafela,,,0,,30.803,35.656,
JOTAF_hasa,2,بلدية,Municipality,الحسا,Hasa,hasa,JOTAF_hasa,,JOTAF,الطفيلة,Tafela,,,0,,30.803,35.656,
JOTAF_qadesiah,2,بلدية,Municipality,القادسية,Qadesiah,qadesiah,JOTAF_qadesiah,,JOTAF,الطفيلة,Tafela,,,0,,30.803,35.656,
JOTAF_tafilah-alkubrah,2,بلدية,Municipality,الطفيلة الكبرى,Tafilah Alkubrah,tafilah-alkubrah,JOTAF_tafilah-alkubrah,,JOTAF,الطفيلة,Tafela,,,0,,30.803,35.656,
JOZAR,1,محافظة,Governorate,الزرقاء,Zarqa,zarqa,JOZAR,,,,,,8,60,,31.858,36.842,https://openadmindata.org/jo/governorates/zarqa/
JOZAR_azraq,2,بلدية,Municipality,الازرق,Azraq,azraq,JOZAR_azraq,,JOZAR,الزرقاء,Zarqa,,,7,,31.858,36.842,
JOZAR_bierain,2,بلدية,Municipality,بيرين,Bierain,bierain,JOZAR_bierain,,JOZAR,الزرقاء,Zarqa,,,25,,31.858,36.842,
JOZAR_dhlail,2,بلدية,Municipality,الضليل,Dhlail,dhlail,JOZAR_dhlail,,JOZAR,الزرقاء,Zarqa,,,1,,31.858,36.842,
JOZAR_el-hallabat,2,بلدية,Municipality,الحلابات,El-Hallabat,el-hallabat,JOZAR_el-hallabat,,JOZAR,الزرقاء,Zarqa,,,7,,31.858,36.842,
JOZAR_hashemiyah,2,بلدية,Municipality,الهاشمية,Hashemiyah,hashemiyah,JOZAR_hashemiyah,,JOZAR,الزرقاء,Zarqa,,,11,,31.858,36.842,
JOZAR_hetten-mrayjeeb-al-fhoud-al-mkhayzen-al-gharbeih-camp,2,بلدية,Municipality,"مخيم حطين, مريجيب الفهود, المخيزن الغربية*","Hetten, Mrayjeeb Al-fhoud, AL-mkhayzen Al-gharbeih Camp*",hetten-mrayjeeb-al-fhoud-al-mkhayzen-al-gharbeih-camp,JOZAR_hetten-mrayjeeb-al-fhoud-al-mkhayzen-al-gharbeih-camp,,JOZAR,الزرقاء,Zarqa,,,0,,31.858,36.842,
JOZAR_russeifa,2,بلدية,Municipality,الرصيفة,Russeifa,russeifa,JOZAR_russeifa,,JOZAR,الزرقاء,Zarqa,,,6,,31.858,36.842,
JOZAR_zarqa,2,بلدية,Municipality,الزرقاء,Zarqa,zarqa,JOZAR_zarqa,,JOZAR,الزرقاء,Zarqa,,,3,,31.858,36.842,
